fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st,E,N,cl,osm_near
14843,CRT Seasonal,56.4,23.2,56.413027,23.249698,CRT Seasonal,Residential-Commercial,2.0,EXisting,439956.59797827614,2571283.105973553,-1,? [amenity=restaurant] 16m | Oman Oil [amenity=fuel;building=yes] 19m
15033,CRT Time of Use,56.5,23.2,56.488405,23.207842,Commercial,Residential,1.0,EXisting,447651.09577446297,2566620.215549034,-1,Alshaabiyah shopping center مركز الشعبية للتسوق [building=commercial] 25m | Al Hayal Shopping Center [shop=supermarket] 31m
15036,CRT Seasonal,56.5,23.2,56.488405,23.207842,Commercial,Residential,1.0,EXisting,447651.09577446297,2566620.215549034,-1,Alshaabiyah shopping center مركز الشعبية للتسوق [building=commercial] 25m | Al Hayal Shopping Center [shop=supermarket] 31m
15248,CRT Seasonal,56.6,23.2,56.597726,23.221075,CRT Seasonal,Residential,0.0,EXisting,458841.55479542527,2568050.013454663,-1,? [amenity=place_of_worship] 16m | ? [amenity=toilets] 33m | ? [amenity=drinking_water] 34m
15787,CRT Seasonal,56.5,23.2,56.49778,23.234803,CRT Seasonal,Residential,99.0,EXisting,448620.7245550987,2569601.609069026,153,
16022,CRT Seasonal,56.5,23.2,56.495964,23.233307,Primary Account Tariff,Residential-Commercial,2.0,EXisting,448434.3618321968,2569436.636568671,153,? [amenity=parking] 46m | صناعية عبري [landuse=industrial] 76m
16334,CRT Seasonal,56.5,23.2,56.464519,23.160463,CRT Time of Use,Industrial,7.0,EXisting,445187.6157432805,2561383.893688341,35,
16335,CRT Seasonal,56.5,23.2,56.464519,23.160463,CRT Time of Use,Industrial,7.0,EXisting,445187.6157432805,2561383.893688341,35,
16354,CRT Seasonal,56.4,23.2,56.446261,23.223774,CRT Seasonal,Residential,5.0,EXisting,443345.3454819692,2568399.78820862,-1,
16525,CRT Seasonal,56.5,23.2,56.493465,23.235349,CRT Seasonal,Residential,1.0,EXisting,448179.4842943121,2569663.587663061,156,? [amenity=place_of_worship] 55m
