PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P01614,C02,secondary main sewer,lateral,200,132.4,0.5,0.983,0.368,0.567,28.6,below Mara's slope
P01615,C01,secondary header,sub main,200,179.7,0.5,0.133,0.194,1.426,1.1,below Mara's slope
P01616,C02,secondary header,sub main,200,84.8,0.5,0.556,0.308,0.738,12.0,below Mara's slope
P01617,C02,secondary main sewer,lateral,200,89.5,0.5,0.307,0.255,0.97,4.7,below Mara's slope
P01618,C02,secondary main sewer,lateral,200,59.7,0.5,0.263,0.242,1.042,3.8,below Mara's slope
P01619,C02,secondary main sewer,lateral,200,39.8,0.5,0.247,0.237,1.073,3.5,below Mara's slope
P01620,C02,secondary main sewer,lateral,200,44.1,0.5,0.271,0.245,1.028,3.8,below Mara's slope
P01621,C02,secondary main sewer,lateral,200,146.9,0.5,0.266,0.243,1.036,3.7,below Mara's slope
P01622,C02,secondary main sewer,lateral,200,85.1,0.5,0.292,0.251,0.993,4.8,below Mara's slope
P01623,C02,secondary header,sub main,200,162.5,0.5,0.219,0.229,1.133,3.0,below Mara's slope
P01624,C02,secondary main sewer,lateral,200,62.8,0.5,0.135,0.195,1.418,1.3,below Mara's slope
P01625,C07,secondary header,sub main,200,61.8,0.5,0.268,0.244,1.033,4.1,below Mara's slope
P01626,C01,secondary main sewer,lateral,200,56.3,0.5,0.303,0.254,0.976,4.9,below Mara's slope
P01627,C01,secondary header,sub main,200,66.6,0.65,0.074,0.174,1.875,0.2,below Mara's slope
P01629,C01,secondary main sewer,lateral,200,110.2,0.5,0.161,0.207,1.305,1.6,below Mara's slope
P01630,C01,secondary main sewer,lateral,200,65.1,0.75,0.107,0.207,1.576,0.7,below Mara's slope
P01632,C06,secondary main sewer,lateral,200,97.7,0.5,0.092,0.172,1.689,1.0,below Mara's slope
P01633,C06,secondary main sewer,lateral,200,83.4,0.5,0.061,0.149,2.041,0.4,below Mara's slope
P01635,C01,secondary header,sub main,200,107.6,3.75,0.0,0.0,,0.0,no flow in 2030
P01637,C01,secondary main sewer,lateral,200,92.0,0.5,0.167,0.209,1.286,1.7,below Mara's slope
