fid,NDVI_MEAN,NDVI_SHARE,GREEN_M2,NDVI_PX
509,0.046,0.0,0.0,17
510,0.045,0.0,0.0,17
511,0.051,0.0,0.0,17
512,0.05,0.0,0.0,16
513,0.058,0.0,0.0,17
514,0.061,0.0,0.0,16
515,0.053,0.0,0.0,16
516,0.055,0.0,0.0,17
517,0.059,0.0,0.0,17
518,0.059,0.0,0.0,16
519,0.058,0.0,0.0,16
520,0.054,0.0,0.0,14
521,0.059,0.0,0.0,16
522,0.05,0.0,0.0,16
523,0.054,0.0,0.0,15
524,0.061,0.0,0.0,16
525,0.046,0.0,0.0,16
526,0.061,0.0,0.0,17
527,0.048,0.0,0.0,17
528,0.051,0.0,0.0,16
529,0.06,0.0,0.0,15
530,0.036,0.0,0.0,16
531,0.009,0.0,0.0,15
532,0.047,0.0,0.0,17
533,0.055,0.0,0.0,14
534,0.061,0.0,0.0,17
535,0.074,0.0,0.0,14
536,0.058,0.0,0.0,16
537,0.062,0.0,0.0,17
538,0.058,0.0,0.0,16
539,0.06,0.0,0.0,17
540,0.04,0.0,0.0,15
541,0.158,0.176,132.0,17
542,0.103,0.125,96.0,16
543,0.057,0.0,0.0,17
544,0.037,0.0,0.0,18
545,0.039,0.0,0.0,16
546,0.036,0.0,0.0,16
547,0.07,0.0,0.0,17
548,0.073,0.0,0.0,16
549,0.062,0.0,0.0,18
550,0.061,0.0,0.0,16
551,0.071,0.0,0.0,16
552,0.064,0.0,0.0,15
553,0.056,0.0,0.0,17
554,0.064,0.0,0.0,17
555,0.049,0.0,0.0,17
556,0.07,0.0,0.0,16
557,0.089,0.0,0.0,17
558,0.081,0.0,0.0,17
559,0.067,0.0,0.0,16
560,0.056,0.0,0.0,17
561,0.035,0.0,0.0,17
562,0.036,0.0,0.0,16
563,0.034,0.0,0.0,17
564,0.063,0.0,0.0,4
565,0.06,0.0,0.0,3
566,0.086,0.0,0.0,15
567,0.088,0.0,0.0,17
568,0.08,0.0,0.0,15
569,0.083,0.0,0.0,17
570,0.049,0.0,0.0,17
571,0.051,0.0,0.0,16
572,0.061,0.0,0.0,18
573,0.084,0.0,0.0,15
574,0.051,0.0,0.0,15
575,0.067,0.0,0.0,14
576,0.057,0.0,0.0,16
577,0.057,0.0,0.0,15
578,0.075,0.0,0.0,14
579,0.083,0.0,0.0,17
580,0.075,0.0,0.0,17
581,0.075,0.0,0.0,17
582,0.078,0.0,0.0,17
583,0.076,0.0,0.0,16
584,0.084,0.0,0.0,14
585,0.075,0.0,0.0,17
586,0.076,0.0,0.0,16
587,0.068,0.0,0.0,15
588,0.07,0.0,0.0,14
589,0.067,0.0,0.0,17
590,0.07,0.0,0.0,17
591,0.073,0.0,0.0,18
592,0.07,0.0,0.0,16
593,0.074,0.0,0.0,15
594,0.069,0.0,0.0,17
595,0.064,0.0,0.0,17
596,0.061,0.0,0.0,17
597,0.058,0.0,0.0,17
598,0.054,0.0,0.0,15
599,0.06,0.0,0.0,16
600,0.061,0.0,0.0,17
601,0.056,0.0,0.0,16
602,0.065,0.0,0.0,17
603,0.074,0.0,0.0,17
604,0.067,0.0,0.0,16
605,0.063,0.0,0.0,15
606,0.073,0.0,0.0,14
607,0.064,0.0,0.0,17
608,0.067,0.0,0.0,17
609,0.067,0.0,0.0,15
610,0.067,0.0,0.0,16
611,0.062,0.0,0.0,16
612,0.061,0.0,0.0,17
613,0.059,0.0,0.0,16
614,0.055,0.0,0.0,14
615,0.051,0.0,0.0,17
616,0.049,0.0,0.0,15
617,0.049,0.0,0.0,18
618,0.035,0.0,0.0,16
619,0.039,0.0,0.0,18
620,0.02,0.0,0.0,17
621,0.027,0.0,0.0,17
622,0.037,0.0,0.0,16
623,0.046,0.0,0.0,16
624,0.047,0.0,0.0,14
625,0.044,0.0,0.0,17
626,0.041,0.0,0.0,15
627,0.046,0.0,0.0,15
628,0.044,0.0,0.0,17
629,0.033,0.0,0.0,16
630,0.043,0.0,0.0,17
631,0.031,0.0,0.0,15
632,0.033,0.0,0.0,17
633,0.023,0.0,0.0,15
634,0.034,0.0,0.0,16
