NODE,SUBNET,WAS_M,DIVERT_AT,DIVERT_DOWN_M,TO_NODE,TO_SUBNET,EXTRA_M,DEF_M,RESCUED
X000116,S006,13.05,N007488,1820.7,N007474,S170,75.7,12.33,0
N001416,S021,13.02,N001886,1334.2,N001826,S040,222.7,13.07,0
N008445,S013,13.02,N007765,3794.0,N007736,S006,161.9,14.76,0
N008428,S013,13.01,N007765,3708.9,N007736,S006,161.9,14.75,0
N001040,S007,13.0,N001688,1648.4,N001734,S066,179.3,15.26,0
N007510,S006,12.99,N007488,1823.1,N007474,S170,75.7,12.27,0
N003423,S005,12.98,N002822,2308.6,N002836,S092,81.5,13.53,0
N001028,S007,12.97,N001688,2050.7,N001734,S066,179.3,15.23,0
N002745,S011,12.97,N001615,2215.1,N001264,S004,586.3,11.62,0
N007881,S006,12.97,N007488,3091.6,N007474,S170,75.7,12.25,0
N001117,S002,12.95,N003536,8118.9,N003486,S031,200.3,13.84,0
N001535,S004,12.94,N001038,2396.2,N000999,S156,85.0,13.46,0
N002498,S003,12.94,N003270,1761.5,N003298,S160,116.2,13.1,0
N002543,S003,12.94,N003270,1919.1,N003298,S160,116.2,13.1,0
N006457,S001,12.94,N005298,6704.7,N004766,S002,1536.5,13.81,0
N001420,S021,12.93,N001886,1289.5,N001826,S040,222.7,12.99,0
N005183,S001,12.93,N005298,3138.9,N004766,S002,1536.5,13.8,0
N002396,S011,12.92,N001615,1875.3,N001264,S004,586.3,11.57,0
N001270,S016,12.9,N001505,538.6,N001604,S040,282.5,11.53,0
N007407,S018,12.89,N007407,0.0,N007267,S019,857.0,12.76,0
N008670,S013,12.89,N007765,4117.1,N007736,S006,161.9,14.63,0
N000918,S002,12.88,N003536,8933.6,N003486,S031,200.3,13.78,0
N005174,S001,12.88,N005298,3116.5,N004766,S002,1536.5,13.75,0
N007967,S006,12.87,N007488,3264.4,N007474,S170,75.7,12.15,0
N008823,S012,12.87,N008125,3635.0,N008145,S104,63.1,13.09,0
N008737,S012,12.86,N008125,3415.8,N008145,S104,63.1,13.08,0
N002525,S003,12.85,N003270,1951.4,N003298,S160,116.2,13.01,0
N005216,S001,12.85,N005298,5016.0,N004766,S002,1536.5,13.72,0
N005489,S001,12.84,N005298,4564.0,N004766,S002,1536.5,13.71,0
N001250,S016,12.83,N001505,631.0,N001604,S040,282.5,11.47,0
N001246,S016,12.81,N001505,718.9,N001604,S040,282.5,11.44,0
N001265,S016,12.81,N001505,708.4,N001604,S040,282.5,11.45,0
N002478,S003,12.81,N003270,1722.1,N003298,S160,116.2,12.97,0
N006943,S035,12.8,N007077,1418.0,N007007,S037,417.4,13.53,0
N007349,S014,12.78,N007524,1206.7,N007564,S006,102.0,14.29,0
X000023,S012,12.78,N008125,2929.7,N008145,S104,63.1,13.0,0
N008989,S027,12.77,N009060,1990.3,N009068,S108,105.7,13.51,0
N001372,S021,12.75,N001886,1184.8,N001826,S040,222.7,12.81,0
N007672,S006,12.75,N007488,2260.4,N007474,S170,75.7,12.03,0
N008816,S012,12.75,N008125,3599.5,N008145,S104,63.1,12.97,0
N003174,S011,12.73,N001615,3830.3,N001264,S004,586.3,11.37,0
N008760,S013,12.72,N007765,4471.1,N007736,S006,161.9,14.46,0
N006413,S010,12.7,N005516,4046.2,N005669,S141,298.8,15.45,0
N006294,S001,12.69,N005298,7378.3,N004766,S002,1536.5,13.56,0
N008552,S013,12.69,N007765,3981.4,N007736,S006,161.9,14.43,0
N003077,S011,12.68,N001615,3294.7,N001264,S004,586.3,11.33,0
N007953,S006,12.67,N007488,3243.9,N007474,S170,75.7,11.95,0
N008840,S012,12.67,N008125,3664.5,N008145,S104,63.1,12.89,0
N002457,S011,12.66,N001615,1918.4,N001264,S004,586.3,11.31,0
N004352,S005,12.66,N002822,2883.0,N002836,S092,81.5,13.22,0
N002785,S011,12.63,N001615,2310.8,N001264,S004,586.3,11.28,0
N000948,S007,12.62,N001688,2106.5,N001734,S066,179.3,14.87,0
N002210,S002,12.62,N003536,6562.1,N003486,S031,200.3,13.51,0
N001057,S007,12.61,N001688,1571.6,N001734,S066,179.3,14.87,0
N006331,S010,12.61,N005516,3704.2,N005669,S141,298.8,15.35,0
N007942,S006,12.61,N007488,3181.7,N007474,S170,75.7,11.89,0
N008776,S012,12.61,N008125,3481.7,N008145,S104,63.1,12.83,0
N003254,S030,12.6,N002064,2692.5,N002006,S040,166.9,12.28,0
N001292,S016,12.59,N001505,617.5,N001604,S040,282.5,11.22,0
N003154,S011,12.59,N002820,644.1,N002842,S030,89.6,10.92,0
N003829,S005,12.59,N002822,2718.7,N002836,S092,81.5,13.15,0
N001445,S021,12.58,N001886,1242.6,N001826,S040,222.7,12.64,0
N002299,S011,12.58,N001615,1765.8,N001264,S004,586.3,11.23,0
N004947,S001,12.58,N005298,2035.4,N004766,S002,1536.5,13.45,0
N008794,S012,12.58,N008125,3488.4,N008145,S104,63.1,12.8,0
N005242,S001,12.57,N005298,3341.3,N004766,S002,1536.5,13.44,0
N007821,S006,12.57,N007488,2807.0,N007474,S170,75.7,11.85,0
N001470,S021,12.56,N001886,1253.0,N001826,S040,222.7,12.62,0
N008664,S013,12.54,N007765,3795.6,N007736,S006,161.9,14.27,0
N005687,S001,12.53,N005298,5159.3,N004766,S002,1536.5,13.4,0
N007910,S006,12.53,N007488,3079.3,N007474,S170,75.7,11.81,0
N008761,S012,12.53,N008125,3402.0,N008145,S104,63.1,12.75,0
N008778,S012,12.52,N008125,3519.1,N008145,S104,63.1,12.74,0
N008796,S013,12.51,N007765,4729.7,N007736,S006,161.9,14.25,0
N006424,S001,12.5,N005298,6665.3,N004766,S002,1536.5,13.37,0
N008819,S012,12.5,N008125,3236.3,N008145,S104,63.1,12.72,0
N001156,S002,12.49,N003536,7984.7,N003486,S031,200.3,13.38,0
N001193,S004,12.49,N001038,3275.0,N000999,S156,85.0,13.01,0
N006579,S022,12.48,N005842,2138.6,N005584,S134,583.7,13.64,0
N003209,S030,12.47,N002064,2609.6,N002006,S040,166.9,12.15,0
N001014,S007,12.46,N001688,1846.8,N001734,S066,179.3,14.72,0
N001376,S021,12.46,N001886,1079.9,N001826,S040,222.7,12.51,0
N008278,S012,12.46,N008125,1776.0,N008145,S104,63.1,12.68,0
N003176,S011,12.45,N002820,587.0,N002842,S030,89.6,10.78,0
N004317,S005,12.45,N002822,2554.4,N002836,S092,81.5,13.01,0
N005202,S001,12.45,N005298,5181.7,N004766,S002,1536.5,13.32,0
N005281,S001,12.45,N005298,3841.7,N004766,S002,1536.5,13.32,0
N006400,S010,12.45,N005516,4218.0,N005669,S141,298.8,15.2,0
N007595,S001,12.45,N005298,11265.3,N004766,S002,1536.5,13.32,0
N002692,S011,12.44,N001615,2136.3,N001264,S004,586.3,11.09,0
N006609,S029,12.44,N006735,365.1,N006812,S037,411.4,14.2,0
N004388,S005,12.43,N002822,2815.3,N002836,S092,81.5,12.99,0
N005189,S001,12.43,N005298,3049.7,N004766,S002,1536.5,13.3,0
N006356,S010,12.43,N005516,4047.7,N005669,S141,298.8,15.18,0
N008814,S012,12.43,N008125,3126.7,N008145,S104,63.1,12.65,0
N008787,S013,12.42,N007765,4639.9,N007736,S006,161.9,14.16,0
N008488,S013,12.41,N007765,3788.0,N007736,S006,161.9,14.15,0
N008792,S012,12.41,N008125,3436.1,N008145,S104,63.1,12.62,0
N001537,S021,12.4,N001886,1262.4,N001826,S040,222.7,12.46,0
N002287,S004,12.4,N001038,3206.2,N000999,S156,85.0,12.92,0
N002355,S011,12.4,N001615,1805.0,N001264,S004,586.3,11.04,0
N007251,S014,12.4,N007524,1961.0,N007564,S006,102.0,13.91,0
N007480,S006,12.4,N007488,1590.1,N007474,S170,75.7,11.68,0
N008751,S012,12.39,N008125,3364.7,N008145,S104,63.1,12.61,0
N008766,S012,12.38,N008125,3326.8,N008145,S104,63.1,12.6,0
N005488,S001,12.37,N005298,4608.4,N004766,S002,1536.5,13.24,0
N007362,S001,12.36,N005298,9923.7,N004766,S002,1536.5,13.23,0
N007690,S006,12.36,N007488,2282.5,N007474,S170,75.7,11.64,0
N008822,S012,12.36,N008125,3166.9,N008145,S104,63.1,12.58,0
N002413,S003,12.35,N003270,1566.1,N003298,S160,116.2,12.51,0
N006384,S010,12.35,N005516,4131.9,N005669,S141,298.8,15.1,0
N007998,S006,12.35,N007488,3249.7,N007474,S170,75.7,11.63,0
N008854,S012,12.35,N008125,3487.2,N008145,S104,63.1,12.57,0
N006348,S010,12.34,N005516,4336.0,N005669,S141,298.8,15.09,0
N006367,S010,12.34,N005516,3878.8,N005669,S141,298.8,15.09,0
N007719,S006,12.34,N007488,2388.9,N007474,S170,75.7,11.62,0
N007810,S006,12.33,N007488,2723.2,N007474,S170,75.7,11.61,0
N002840,S011,12.32,N001615,2575.5,N001264,S004,586.3,10.97,0
N005955,S001,12.32,N005298,5289.7,N004766,S002,1536.5,13.19,0
N001590,S021,12.31,N001886,1345.9,N001826,S040,222.7,12.37,0
N002811,S011,12.31,N001615,2487.4,N001264,S004,586.3,10.96,0
N003011,S011,12.31,N001615,2772.5,N001264,S004,586.3,10.95,0
N008850,S012,12.31,N008125,3308.0,N008145,S104,63.1,12.53,0
N007751,S018,12.3,N007641,1337.5,N007605,S143,183.7,12.73,0
N008026,S006,12.3,N007488,3342.3,N007474,S170,75.7,11.58,0
N003119,S011,12.29,N001615,3422.3,N001264,S004,586.3,10.93,0
N005250,S001,12.28,N005298,3369.1,N004766,S002,1536.5,13.15,0
N005515,S001,12.27,N005298,4001.0,N004766,S002,1536.5,13.14,0
N006503,S022,12.27,N005842,1973.9,N005584,S134,583.7,13.43,0
N008285,S012,12.27,N008125,1715.2,N008145,S104,63.1,12.48,0
N007943,S006,12.26,N007488,2988.0,N007474,S170,75.7,11.54,0
N006428,S001,12.25,N005298,6176.5,N004766,S002,1536.5,13.12,0
N007739,S006,12.25,N007488,2460.3,N007474,S170,75.7,11.53,0
N008662,S013,12.25,N007765,4082.4,N007736,S006,161.9,13.99,0
N002234,S002,12.24,N003536,6005.4,N003486,S031,200.3,13.13,0
N008224,S006,12.24,N007488,3787.2,N007474,S170,75.7,11.52,0
N008437,S013,12.24,N007765,3536.3,N007736,S006,161.9,13.97,0
N002122,S011,12.23,N001615,1424.4,N001264,S004,586.3,10.88,0
N008769,S013,12.22,N007765,4305.3,N007736,S006,161.9,13.96,0
N006598,S029,12.21,N006617,2523.3,N006554,S137,184.5,13.98,0
N007442,S006,12.21,N007488,1499.0,N007474,S170,75.7,11.49,0
N007674,S006,12.21,N007488,2168.4,N007474,S170,75.7,11.49,0
N007907,S006,12.21,N007488,3011.7,N007474,S170,75.7,11.49,0
N006328,S010,12.2,N005516,3962.2,N005669,S141,298.8,14.95,0
N001525,S021,12.19,N001886,1174.8,N001826,S040,222.7,12.25,0
N008178,S006,12.19,N007488,3692.4,N007474,S170,75.7,11.47,0
N006389,S010,12.18,N005516,3709.4,N005669,S141,298.8,14.93,0
N001086,S007,12.16,N001688,1537.8,N001734,S066,179.3,14.41,0
N002369,S011,12.16,N001615,1773.6,N001264,S004,586.3,10.81,0
N006504,S022,12.16,N005842,1965.0,N005584,S134,583.7,13.32,0
N007804,S018,12.15,N007641,1551.4,N007605,S143,183.7,12.57,0
