MH_LABEL,LOADTYPE,BASEFLOW,PATTERN
MH-0945,Sanitary Pattern Load,0.0297,Fixed
MH-0930,Sanitary Pattern Load,0.0099,Fixed
MH-0931,Sanitary Pattern Load,0.0198,Fixed
MH-0914,Sanitary Pattern Load,0.0397,Fixed
MH-0949,Sanitary Pattern Load,0.0198,Fixed
MH-0926,Sanitary Pattern Load,0.0595,Fixed
MH-0302,Sanitary Pattern Load,0.0198,Fixed
MH-0314,Sanitary Pattern Load,0.0297,Fixed
MH-0303,Sanitary Pattern Load,0.0198,Fixed
MH-0278,Sanitary Pattern Load,0.0397,Fixed
MH-0812,Sanitary Pattern Load,0.0099,Fixed
MH-0325,Sanitary Pattern Load,0.0099,Fixed
MH-0834,Sanitary Pattern Load,0.0099,Fixed
MH-0355,Sanitary Pattern Load,0.0595,Fixed
MH-0293,Sanitary Pattern Load,0.0297,Fixed
MH-0253,Sanitary Pattern Load,0.0198,Fixed
MH-0334,Sanitary Pattern Load,0.0496,Fixed
MH-0276,Sanitary Pattern Load,0.0397,Fixed
MH-0289,Sanitary Pattern Load,0.0099,Fixed
MH-0911,Sanitary Pattern Load,0.0099,Fixed
MH-0899,Sanitary Pattern Load,0.0397,Fixed
MH-0941,Sanitary Pattern Load,0.0694,Fixed
MH-0983,Sanitary Pattern Load,0.0198,Fixed
MH-0797,Sanitary Pattern Load,0.0198,Fixed
MH-0820,Sanitary Pattern Load,0.0397,Fixed
MH-0803,Sanitary Pattern Load,0.0297,Fixed
MH-0379,Sanitary Pattern Load,0.0297,Fixed
MH-0354,Sanitary Pattern Load,0.0397,Fixed
MH-0391,Sanitary Pattern Load,0.0099,Fixed
MH-0619,Sanitary Pattern Load,0.0099,Fixed
MH-0301,Sanitary Pattern Load,0.0297,Fixed
MH-0322,Sanitary Pattern Load,0.0297,Fixed
MH-0320,Sanitary Pattern Load,0.0198,Fixed
MH-0353,Sanitary Pattern Load,0.0793,Fixed
MH-0332,Sanitary Pattern Load,0.0297,Fixed
MH-0359,Sanitary Pattern Load,0.0297,Fixed
MH-0343,Sanitary Pattern Load,0.0099,Fixed
MH-0708,Sanitary Pattern Load,0.0496,Fixed
MH-0481,Sanitary Pattern Load,0.0099,Fixed
MH-0760,Sanitary Pattern Load,0.0297,Fixed
MH-0473,Sanitary Pattern Load,0.0397,Fixed
MH-0756,Sanitary Pattern Load,0.0496,Fixed
MH-0798,Sanitary Pattern Load,0.0297,Fixed
MH-0776,Sanitary Pattern Load,0.0297,Fixed
MH-0789,Sanitary Pattern Load,0.0595,Fixed
MH-0809,Sanitary Pattern Load,0.0099,Fixed
MH-0829,Sanitary Pattern Load,0.0397,Fixed
MH-0405,Sanitary Pattern Load,0.0397,Fixed
MH-0417,Sanitary Pattern Load,0.0397,Fixed
MH-0388,Sanitary Pattern Load,0.0198,Fixed
MH-0430,Sanitary Pattern Load,0.0099,Fixed
MH-0792,Sanitary Pattern Load,0.0297,Fixed
MH-0767,Sanitary Pattern Load,0.0397,Fixed
MH-0807,Sanitary Pattern Load,0.0397,Fixed
MH-0782,Sanitary Pattern Load,0.0198,Fixed
MH-0307,Sanitary Pattern Load,0.0297,Fixed
MH-0310,Sanitary Pattern Load,0.0892,Fixed
MH-0294,Sanitary Pattern Load,0.0793,Fixed
MH-0752,Sanitary Pattern Load,0.0595,Fixed
MH-0602,Sanitary Pattern Load,0.0297,Fixed
MH-0487,Sanitary Pattern Load,0.0198,Fixed
MH-0883,Sanitary Pattern Load,0.0099,Fixed
MH-0764,Sanitary Pattern Load,0.0595,Fixed
MH-0606,Sanitary Pattern Load,0.0099,Fixed
MH-0632,Sanitary Pattern Load,0.0297,Fixed
MH-0585,Sanitary Pattern Load,0.0198,Fixed
MH-0429,Sanitary Pattern Load,0.0397,Fixed
MH-0462,Sanitary Pattern Load,0.0397,Fixed
MH-0491,Sanitary Pattern Load,0.0099,Fixed
MH-0410,Sanitary Pattern Load,0.0397,Fixed
MH-0665,Sanitary Pattern Load,0.0397,Fixed
MH-0710,Sanitary Pattern Load,0.0099,Fixed
MH-0387,Sanitary Pattern Load,0.0397,Fixed
MH-0400,Sanitary Pattern Load,0.0099,Fixed
MH-0401,Sanitary Pattern Load,0.0397,Fixed
MH-0412,Sanitary Pattern Load,0.0099,Fixed
MH-0425,Sanitary Pattern Load,0.0496,Fixed
MH-0543,Sanitary Pattern Load,0.0099,Fixed
MH-0470,Sanitary Pattern Load,0.0595,Fixed
MH-0486,Sanitary Pattern Load,0.0397,Fixed
MH-0471,Sanitary Pattern Load,0.0297,Fixed
MH-0443,Sanitary Pattern Load,0.0297,Fixed
MH-0533,Sanitary Pattern Load,0.0198,Fixed
MH-0560,Sanitary Pattern Load,0.0496,Fixed
MH-0427,Sanitary Pattern Load,0.0496,Fixed
MH-0407,Sanitary Pattern Load,0.0297,Fixed
MH-0404,Sanitary Pattern Load,0.0397,Fixed
MH-0393,Sanitary Pattern Load,0.0198,Fixed
MH-0722,Sanitary Pattern Load,0.0991,Fixed
MH-0830,Sanitary Pattern Load,0.0099,Fixed
MH-0847,Sanitary Pattern Load,0.0694,Fixed
MH-0814,Sanitary Pattern Load,0.0099,Fixed
MH-0988,Sanitary Pattern Load,0.0198,Fixed
MH-1025,Sanitary Pattern Load,0.0793,Fixed
MH-1056,Sanitary Pattern Load,0.0198,Fixed
MH-0958,Sanitary Pattern Load,0.0297,Fixed
MH-1023,Sanitary Pattern Load,0.0297,Fixed
MH-0884,Sanitary Pattern Load,0.0198,Fixed
MH-1077,Sanitary Pattern Load,0.0297,Fixed
MH-1116,Sanitary Pattern Load,0.0397,Fixed
MH-1124,Sanitary Pattern Load,0.0198,Fixed
MH-0960,Sanitary Pattern Load,0.0892,Fixed
MH-1102,Sanitary Pattern Load,0.0099,Fixed
MH-1113,Sanitary Pattern Load,0.0198,Fixed
MH-1049,Sanitary Pattern Load,0.0297,Fixed
MH-1109,Sanitary Pattern Load,0.0099,Fixed
MH-0823,Sanitary Pattern Load,0.0892,Fixed
MH-0842,Sanitary Pattern Load,0.0198,Fixed
MH-0848,Sanitary Pattern Load,0.0099,Fixed
MH-0929,Sanitary Pattern Load,0.0099,Fixed
MH-0860,Sanitary Pattern Load,0.0099,Fixed
MH-1054,Sanitary Pattern Load,0.0198,Fixed
MH-1071,Sanitary Pattern Load,0.0099,Fixed
MH-1009,Sanitary Pattern Load,0.0397,Fixed
MH-1053,Sanitary Pattern Load,0.0297,Fixed
MH-0932,Sanitary Pattern Load,0.0397,Fixed
MH-1040,Sanitary Pattern Load,0.0297,Fixed
MH-1018,Sanitary Pattern Load,0.0297,Fixed
MH-1028,Sanitary Pattern Load,0.0099,Fixed
MH-0975,Sanitary Pattern Load,0.0099,Fixed
MH-0989,Sanitary Pattern Load,0.0099,Fixed
MH-0915,Sanitary Pattern Load,0.0099,Fixed
MH-0979,Sanitary Pattern Load,0.0397,Fixed
MH-1003,Sanitary Pattern Load,0.0496,Fixed
