LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0449,200,5.0,0.11,0.181,0.055,,,,,
P-0450,200,7.061,0.0,0.021,0.005,,,,,
P-0451,200,7.061,0.18,0.213,0.069,,,,,
P-0452,200,5.317,1.1,0.39,0.158,,,,,
P-0453,200,5.0,0.25,0.238,0.08,,,,,
P-0454,200,5.0,0.36,0.267,0.094,,,,,
P-0455,200,5.0,0.14,0.199,0.062,,,,,
P-0456,200,5.0,0.28,0.249,0.085,,,,,
P-0457,200,5.0,3.27,0.528,0.274,,,,,
P-0458,200,5.0,0.36,0.267,0.095,,,,,
P-0459,200,5.0,1.14,0.385,0.163,,,,,
P-0460,200,5.0,3.61,0.544,0.288,,,,,
P-0461,200,5.0,4.62,0.584,0.327,,,,,
P-0462,200,26.747,0.0,0.038,0.006,,,,,
P-0463,200,26.747,0.78,0.698,0.084,,,,,
P-0464,200,28.569,0.0,0.043,0.006,,,,,
P-0465,200,28.569,0.25,0.507,0.048,,,,,
P-0466,200,5.0,0.0,0.029,0.007,,,,,
P-0467,200,5.0,0.14,0.198,0.062,,,,,
P-0468,200,5.0,0.18,0.213,0.069,,,,,
P-0469,200,5.0,0.28,0.249,0.085,,,,,
P-0470,200,5.0,4.83,0.591,0.335,,,,,
P-0471,200,5.0,4.98,0.596,0.341,,,,,
P-0472,200,9.174,6.36,0.796,0.33,,,,,
P-0473,200,5.0,6.36,0.638,0.388,,,,,
P-0474,200,54.809,1.42,0.948,0.102,,,,,
P-0475,200,5.0,1.45,0.415,0.184,,,,,
P-0476,200,24.821,1.53,0.738,0.128,,,,,
P-0477,200,38.873,0.04,0.26,0.021,,,,,
P-0478,200,5.0,7.33,0.663,0.419,,,,,
P-0479,200,10.042,0.0,0.029,0.005,,,,,
P-0480,200,5.0,0.07,0.158,0.046,,,,,
P-0481,200,13.138,0.92,0.502,0.118,,,,,
P-0482,200,13.138,1.1,1.034,0.081,,,,,
P-0483,200,13.138,0.85,0.521,0.108,,,,,
P-0484,200,24.805,0.18,0.427,0.043,,,,,
P-0485,200,40.525,0.0,0.031,0.003,,,,,
P-0486,200,13.138,0.85,0.492,0.113,,,,,
P-0487,200,8.881,0.96,0.447,0.131,,,,,
P-0488,200,24.805,0.0,0.02,0.004,,,,,
P-0489,200,40.525,0.18,0.454,0.041,,,,,
P-0490,200,40.525,0.04,0.241,0.022,,,,,
P-0491,200,7.358,0.71,0.388,0.117,,,,,
P-0492,200,5.0,1.17,0.388,0.165,,,,,
P-0493,200,5.0,0.07,0.158,0.046,,,,,
P-0494,200,5.0,0.07,0.158,0.046,,,,,
P-0495,200,5.0,0.04,0.125,0.034,,,,,
P-0496,200,7.035,0.0,0.018,0.005,,,,,
P-0497,200,7.035,0.07,0.158,0.046,,,,,
P-0498,200,7.035,0.07,0.158,0.046,,,,,
P-0499,200,5.725,1.17,0.408,0.16,,,,,
P-0500,200,5.0,0.32,0.258,0.09,,,,,
P-0501,200,5.0,1.1,0.381,0.161,,,,,
P-0502,200,14.112,0.0,0.023,0.003,,,,,
P-0503,200,5.0,0.14,0.198,0.062,,,,,
P-0504,200,5.44,0.28,0.256,0.083,,,,,
P-0505,200,5.0,0.6,0.316,0.121,,,,,
P-0506,200,5.0,0.5,0.297,0.11,,,,,
P-0507,200,5.0,0.78,0.343,0.136,,,,,
P-0508,200,5.0,0.53,0.304,0.114,,,,,
P-0509,200,5.0,1.98,0.456,0.214,,,,,
P-0510,200,5.0,0.28,0.248,0.085,,,,,
P-0511,200,5.0,0.0,0.028,0.007,,,,,
P-0512,200,5.0,0.67,0.327,0.127,,,,,
P-0513,200,5.0,0.0,0.028,0.007,,,,,
P-0514,200,5.0,0.74,0.338,0.133,,,,,
P-0515,200,5.095,0.0,0.026,0.006,,,,,
P-0516,200,5.095,0.04,0.127,0.034,,,,,
P-0517,200,9.56,0.0,0.026,0.005,,,,,
P-0518,200,5.0,0.0,0.021,0.005,,,,,
P-0519,200,5.0,0.32,0.258,0.09,,,,,
P-0520,200,8.28,0.32,0.307,0.08,,,,,
P-0521,200,5.0,0.21,0.226,0.075,,,,,
P-0522,200,5.0,0.32,0.258,0.09,,,,,
P-0523,200,5.0,0.64,0.322,0.124,,,,,
P-0524,200,7.035,0.07,0.157,0.046,,,,,
P-0525,200,5.0,1.34,0.405,0.177,,,,,
P-0526,200,5.0,0.0,0.025,0.006,,,,,
P-0527,200,5.0,1.42,0.412,0.181,,,,,
P-0528,200,9.933,0.99,0.469,0.129,,,,,
P-0529,200,5.0,2.23,0.472,0.226,,,,,
P-0530,200,7.035,0.35,0.267,0.094,,,,,
P-0531,200,7.035,0.46,0.455,0.078,,,,,
P-0532,200,7.035,0.36,0.267,0.094,,,,,
P-0533,200,7.035,0.57,0.378,0.102,,,,,
P-0534,200,5.0,0.0,0.014,0.004,,,,,
P-0535,200,5.0,0.21,0.226,0.075,,,,,
P-0536,200,5.0,0.0,0.022,0.005,,,,,
P-0537,200,5.0,0.14,0.198,0.062,,,,,
P-0538,200,5.0,0.14,0.198,0.062,,,,,
P-0539,200,5.0,0.25,0.238,0.08,,,,,
P-0540,200,33.327,0.04,0.256,0.021,,,,,
P-0541,200,13.198,0.18,0.29,0.056,,,,,
P-0542,200,13.198,0.0,0.013,0.004,,,,,
P-0543,200,33.327,0.0,0.021,0.003,,,,,
P-0544,200,33.327,0.07,0.309,0.029,,,,,
P-0545,200,35.455,0.28,0.588,0.048,,,,,
P-0546,200,5.0,0.0,0.031,0.007,,,,,
P-0547,200,35.455,0.0,0.011,0.002,,,,,
P-0548,200,16.138,0.64,0.322,0.124,,,,,
P-0549,200,16.138,0.71,0.333,0.13,,,,,
P-0550,200,16.138,0.82,0.637,0.092,,,,,
P-0551,200,5.0,0.0,0.027,0.006,,,,,
P-0552,200,5.0,2.48,0.487,0.239,,,,,
P-0553,200,41.807,2.13,0.98,0.132,,,,,
P-0554,200,24.249,2.16,0.815,0.151,,,,,
P-0555,200,51.431,0.21,0.585,0.039,,,,,
P-0556,200,51.431,0.0,0.032,0.003,,,,,
P-0557,200,51.431,0.25,0.532,0.047,,,,,
P-0558,200,51.431,0.18,0.213,0.069,,,,,
P-0559,200,5.0,0.92,0.361,0.148,,,,,
P-0560,200,44.848,1.59,1.071,0.102,,,,,
P-0561,200,61.709,1.88,1.079,0.113,,,,,
P-0562,200,5.0,3.22,0.526,0.272,,,,,
P-0563,200,5.0,1.1,0.381,0.16,,,,,
P-0564,200,5.0,0.14,0.199,0.062,,,,,
P-0565,200,5.0,0.11,0.18,0.055,,,,,
P-0566,200,5.0,0.21,0.226,0.075,,,,,
P-0567,200,5.0,0.78,0.342,0.136,,,,,
P-0568,200,5.0,0.5,0.297,0.11,,,,,
P-0569,200,5.0,3.26,0.528,0.273,,,,,
P-0570,200,5.0,0.89,0.356,0.145,,,,,
P-0571,200,5.25,0.39,0.275,0.099,,,,,
P-0572,200,5.0,0.92,0.361,0.148,,,,,
P-0573,200,5.0,0.85,0.352,0.142,,,,,
P-0574,200,5.0,0.0,0.022,0.005,,,,,
P-0575,200,5.0,0.18,0.213,0.069,,,,,
P-0576,200,5.0,0.11,0.18,0.055,,,,,
P-0577,200,5.0,4.61,0.583,0.327,,,,,
P-0578,200,5.0,4.64,0.584,0.328,,,,,
P-0579,200,5.0,0.0,0.032,0.007,,,,,
P-0580,200,5.0,4.76,0.589,0.332,,,,,
