PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P07727,C03,secondary header,sub main,200,84.2,0.5,0.227,0.231,1.115,3.1,below Mara's slope
P07728,C08,secondary main sewer,lateral,200,97.4,0.5,0.132,0.193,1.432,1.8,below Mara's slope
P07730,C05,secondary header,sub main,200,258.4,0.5,0.441,0.286,0.821,7.8,below Mara's slope
P07731,C05,secondary main sewer,lateral,200,67.9,0.5,0.043,0.133,2.392,0.1,below Mara's slope
P07732,C75,secondary main sewer,lateral,200,68.4,0.8,0.215,0.267,1.142,2.8,below Mara's slope
P07733,C01,secondary main sewer,lateral,200,19.4,0.5,0.052,0.142,2.195,0.2,below Mara's slope
P07734,C01,secondary header,sub main,200,209.0,0.5,0.702,0.331,0.662,15.8,below Mara's slope
P07736,C01,secondary main sewer,lateral,200,38.8,0.5,0.274,0.246,1.022,4.4,below Mara's slope
P07737,C03,secondary header,sub main,200,168.4,0.5,0.402,0.278,0.856,7.5,below Mara's slope
P07738,C03,secondary header,sub main,200,84.9,0.5,0.527,0.303,0.756,11.2,below Mara's slope
P07739,C01,secondary main sewer,lateral,200,66.6,0.5,0.223,0.23,1.124,3.2,below Mara's slope
P07740,C05,secondary header,sub main,200,19.3,0.5,0.614,0.318,0.705,10.4,below Mara's slope
P07741,C03,secondary main sewer,lateral,200,90.0,0.5,0.236,0.234,1.094,3.3,below Mara's slope
P07743,C03,secondary main sewer,lateral,200,83.3,0.75,0.182,0.247,1.234,2.2,below Mara's slope
P07744,C01,secondary header,sub main,200,40.5,0.5,0.778,0.342,0.632,18.6,below Mara's slope
P07745,C01,secondary header,sub main,200,96.0,0.5,0.856,0.353,0.605,21.6,below Mara's slope
P07746,C05,secondary header,sub main,200,292.8,0.5,0.394,0.276,0.865,7.6,below Mara's slope
P07748,C01,secondary main sewer,lateral,200,76.6,0.5,0.411,0.28,0.848,4.7,below Mara's slope
P07750,C21,secondary main sewer,lateral,200,144.7,0.5,0.0,0.0,,0.0,no flow in 2030
P07751,C21,secondary main sewer,lateral,200,35.2,0.5,0.0,0.0,,0.0,no flow in 2030
P07752,C21,secondary main sewer,lateral,200,246.0,0.5,0.0,0.0,,0.0,no flow in 2030
P07753,C21,secondary main sewer,lateral,200,148.8,0.5,0.0,0.0,,0.0,no flow in 2030
P07754,C03,secondary main sewer,lateral,200,82.3,0.85,0.211,0.271,1.154,2.8,below Mara's slope
P07755,C03,secondary header,sub main,200,84.8,0.5,0.786,0.343,0.629,19.9,below Mara's slope
P07756,C03,secondary header,sub main,200,84.5,0.5,0.487,0.295,0.784,10.2,below Mara's slope
P07758,C01,secondary main sewer,lateral,200,21.8,0.5,0.208,0.225,1.161,1.8,below Mara's slope
