fid,Name,Classes,Build,SETTLE,AREA_M2,PROPS,POP,G_NDOM,G_GOV,G_SPEC,WORKERS,W_DOM,W_NDOM,W_GOV,W_SPEC,S_DOM,S_NDOM,S_GOV,S_SPEC,QADF,FUT_CAP,FUT_PROPS
32397,Primary Account Tariff (with National Subsidy),Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32398,NULL,Residential,Future,IBRI,600.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32399,Primary Account Tariff,Residential,EXisting,IBRI,600.0,1,5.32,1,0,0,0.0,0.8725,0.4469,0.0,0.0,0.7416,0.2413,0.0,0.0,0.9829,0,0.0
32400,Additional Account Tariff,Residential,EXisting,IBRI,600.0,2,10.64,0,0,0,0.0,1.745,0.0,0.0,0.0,1.4832,0.0,0.0,0.0,1.4832,0,0.0
32401,NULL,Residential,Future,IBRI,150.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32402,NULL,Residential,Future,IBRI,600.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32403,Primary Account Tariff,Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32404,Primary Account Tariff,Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32405,Primary Account Tariff (with National Subsidy),Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32406,Primary Account Tariff,Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32407,NULL,Residential,Future,IBRI,677.5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32408,NULL,Residential,Future,IBRI,600.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32409,Primary Account Tariff,Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32410,Primary Account Tariff,Residential,EXisting,IBRI,677.5,1,5.32,0,1,0,0.0,0.8725,0.0,2.9284,0.0,0.7416,0.0,1.5813,0.0,2.3229,0,0.0
32411,Primary Account Tariff,Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32412,Primary Account Tariff,Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32413,Primary Account Tariff (with National Subsidy),Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32414,Primary Account Tariff,Residential,EXisting,IBRI,677.5,2,10.64,0,0,0,0.0,1.745,0.0,0.0,0.0,1.4832,0.0,0.0,0.0,1.4832,0,0.0
32415,Primary Account Tariff,Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32416,Primary Account Tariff (with National Subsidy),Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32417,NULL,Residential,Future,IBRI,100.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32418,Additional Account Tariff,Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32419,NULL,Residential,Future,IBRI,90.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32420,Primary Account Tariff,Residential,EXisting,IBRI,600.0,2,10.64,0,0,0,0.0,1.745,0.0,0.0,0.0,1.4832,0.0,0.0,0.0,1.4832,0,0.0
32421,Primary Account Tariff,Residential,EXisting,IBRI,666.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32422,Primary Account Tariff (with National Subsidy),Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32423,NULL,Residential,Future,IBRI,600.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32424,NULL,Residential,Future,IBRI,600.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32425,NULL,Residential,Future,IBRI,600.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32426,Primary Account Tariff,Residential,EXisting,IBRI,675.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32427,NULL,Residential,Future,IBRI,167.4,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32428,NULL,Residential,Future,IBRI,100.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32429,NULL,Residential,Future,IBRI,790.5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32430,Primary Account Tariff,Residential,EXisting,IBRI,750.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32431,NULL,Residential,Future,IBRI,760.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32432,NULL,Residential,Future,HIJAR,1.9,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32433,NULL,Residential,Future,HIJAR,1.3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32434,NULL,Residential,Future,HIJAR,700.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32435,NULL,Residential,Future,USAYBUQ,647.5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32436,NULL,Residential,Future,HIJAR,320.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32437,NULL,Residential,Future,USAYBUQ,750.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32438,NULL,Residential,Future,USAYBUQ,213.1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32439,NULL,Residential,Future,USAYBUQ,677.3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32440,NULL,Residential,Future,USAYBUQ,660.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32441,NULL,Residential,Future,USAYBUQ,694.3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32442,NULL,Residential,Future,USAYBUQ,750.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32443,NULL,Residential,Future,USAYBUQ,737.5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32444,NULL,Residential,Future,HIJAR,1139.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32445,NULL,Residential,Future,HIJAR,6238.2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
