SID,village,plots,props,people,q,pipe_km_exclusive,m_per_property,m_per_m3d,km_to_core,km_to_built_net,G201_remote,pkg_eligible,TRANCHE,SOLUTION
170,-,1,1.46,7.75,1.08,0.0,0.0,0.0,9.06,20.36,True,False,1 - sewer,connect to the network
169,AL WAHRAH,1,1.46,7.75,1.08,0.0,0.0,0.0,8.43,19.76,True,False,1 - sewer,connect to the network
180,-,1,1.46,7.75,1.08,0.0,0.0,0.0,8.06,24.44,True,False,1 - sewer,connect to the network
130,-,1,1.46,7.75,1.08,0.0,0.0,0.0,0.04,6.36,True,False,1 - sewer,connect to the network
126,-,1,1.46,7.75,1.08,0.0,0.0,0.0,0.26,6.55,True,False,1 - sewer,connect to the network
142,-,3,1.46,7.75,1.08,0.0,0.0,0.0,7.31,15.32,True,False,1 - sewer,connect to the network
139,AL DIREZ,1,1.46,7.75,1.08,0.0,0.0,0.0,7.65,15.34,True,False,1 - sewer,connect to the network
100,-,1,1.46,7.75,1.08,0.0,0.0,0.0,0.01,0.28,True,False,1 - sewer,connect to the network
146,-,1,1.46,7.75,1.08,0.0,0.0,0.0,7.8,16.06,True,False,1 - sewer,connect to the network
156,-,4,1.46,7.75,1.08,0.0,0.0,0.0,0.36,16.37,True,False,1 - sewer,connect to the network
32,-,1,1.46,7.75,1.08,0.0,0.0,0.0,0.2,5.05,True,False,1 - sewer,connect to the network
45,-,3,1.46,7.75,1.08,0.0,0.0,0.0,0.01,2.37,True,False,1 - sewer,connect to the network
178,-,1,1.46,7.75,1.08,0.0,0.0,0.0,9.57,21.7,True,False,1 - sewer,connect to the network
172,-,1,1.46,7.75,1.08,0.0,0.0,0.0,8.5,19.45,True,False,1 - sewer,connect to the network
181,-,1,1.46,7.75,1.08,0.0,0.0,0.0,8.27,23.03,True,False,1 - sewer,connect to the network
50,-,2,2.0,10.64,1.48,0.0,0.0,0.0,0.76,1.37,True,False,1 - sewer,connect to the network
177,-,1,1.53,0.0,5.1,0.0,0.0,0.0,9.04,22.55,True,False,1 - sewer,connect to the network
183,-,1,1.53,0.0,5.1,0.0,0.0,0.0,9.17,22.8,True,False,1 - sewer,connect to the network
27,-,1,1.46,7.75,1.08,0.0,0.0,0.0,6.75,13.98,True,False,1 - sewer,connect to the network
2,-,1,1.46,7.75,1.08,0.0,0.0,0.0,3.98,4.76,True,False,1 - sewer,connect to the network
78,-,2,2.0,10.64,1.48,0.0,0.0,0.0,0.01,1.54,True,False,1 - sewer,connect to the network
70,AL DUBAYSHI,2,2.0,10.64,1.48,0.0,0.0,0.0,0.01,0.5,True,False,1 - sewer,connect to the network
122,-,2,2.0,10.64,1.48,0.0,0.0,0.0,0.01,5.07,True,False,1 - sewer,connect to the network
47,-,2,2.0,10.64,1.48,0.0,0.0,0.0,1.55,4.08,True,False,1 - sewer,connect to the network
35,-,2,2.0,10.64,1.48,0.0,0.0,0.0,2.01,3.77,True,False,1 - sewer,connect to the network
72,-,2,2.0,10.64,1.48,0.0,0.0,0.0,1.87,4.38,True,False,1 - sewer,connect to the network
157,-,2,2.46,13.07,1.82,0.0,0.0,0.0,0.77,15.72,True,False,1 - sewer,connect to the network
133,-,1,2.46,7.75,1.64,0.0,0.0,0.0,5.01,13.24,True,False,1 - sewer,connect to the network
112,-,2,2.91,15.49,2.16,0.0,0.0,0.0,0.16,0.96,True,False,1 - sewer,connect to the network
150,AL WAHRAH,2,2.91,15.49,2.16,0.0,0.0,0.0,7.8,17.5,True,False,1 - sewer,connect to the network
144,AL DIREZ,2,2.91,15.49,2.16,0.0,0.0,0.0,7.78,15.65,True,False,1 - sewer,connect to the network
101,-,1,1.0,5.32,0.74,0.0,0.0,0.0,0.37,3.47,True,False,1 - sewer,connect to the network
96,AL SULAIF,5,1.46,7.75,1.08,0.0,0.0,0.0,0.66,3.2,True,False,1 - sewer,connect to the network
107,WADI AL LETHEALAH,1,1.46,7.75,1.08,0.0,0.0,0.0,0.0,0.54,True,False,1 - sewer,connect to the network
129,-,1,1.46,7.75,1.08,0.0,0.0,0.0,0.1,6.19,True,False,1 - sewer,connect to the network
22,-,1,1.46,7.75,1.08,0.0,0.0,0.0,2.54,9.74,True,False,1 - sewer,connect to the network
128,-,1,1.46,7.75,1.08,0.0,0.0,0.0,1.93,10.62,True,False,1 - sewer,connect to the network
6,-,1,1.46,7.75,1.08,0.0,0.0,0.0,3.24,5.52,True,False,1 - sewer,connect to the network
111,-,2,1.46,7.75,1.08,0.0,0.0,0.0,0.39,0.74,True,False,1 - sewer,connect to the network
124,AL DIREZ,1,1.46,7.75,1.08,0.0,0.0,0.0,1.6,10.25,True,False,1 - sewer,connect to the network
161,-,1,1.0,0.0,0.56,0.0,0.0,0.0,0.12,20.05,True,False,1 - sewer,connect to the network
149,-,3,1.46,7.75,1.08,0.0,0.0,0.0,0.02,14.9,True,False,1 - sewer,connect to the network
7,-,1,1.46,7.75,1.08,0.0,0.0,0.0,2.83,3.97,True,False,1 - sewer,connect to the network
164,-,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.36,True,False,0 - no load to collect,nothing to collect - no property on it
162,-,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,18.9,True,False,0 - no load to collect,nothing to collect - no property on it
155,-,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33,17.01,True,False,0 - no load to collect,nothing to collect - no property on it
163,-,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,18.58,True,False,0 - no load to collect,nothing to collect - no property on it
141,-,1,0.0,0.0,0.0,0.0,0.0,0.0,3.11,13.0,True,False,0 - no load to collect,nothing to collect - no property on it
153,-,1,0.0,0.0,0.0,0.0,0.0,0.0,0.49,17.8,True,False,0 - no load to collect,nothing to collect - no property on it
117,-,2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,8.18,True,False,0 - no load to collect,nothing to collect - no property on it
