node,depth,recover_m,best_depth,q
37,16.793790445160028,148.90524258333747,1.6,16.315376
13343,14.970194795525856,505.94188953495626,1.6,38.563616
13333,12.48810948784353,19.973088326441513,1.6,250.6492815100113
119,12.671926894241096,38.820852585607874,1.65,582.0604796075006
8074,16.413724540686417,13.836162482506065,1.65,619.1408796075008
185,30.24102362176535,306.8464755184786,1.715,818.5267370249805
8375,12.586751716897425,94.14972882639935,1.8,1553.4582010750294
8063,15.923816305561218,492.23261492034226,1.6,10.382512
15,12.27459211712113,612.7982647609093,1.6,73.66248705444363
56,25.074927432664083,736.324622825827,1.6,73.66248705444363
132,18.668877266573418,64.05862520977654,1.6,76.90183079844363
140,14.727791612927774,656.9518514617423,1.6,83.07798985288727
276,13.125997571566757,207.79806552635628,1.6,132.28523412030674
411,12.768843192805718,4.4984252493931605,1.6,213.6100025260165
476,12.58595340540711,145.277117265075,1.715,776.7521123398241
546,14.603685291477461,80.88654142276026,1.715,899.5274720677683
1321,13.910922616534606,63.62904296864953,1.8,1395.610900124019
