NODE,X,Y,GROUND,DEPTH_M,LIFT_M,PLOTS_UP,QADF_M3D,QPK_LS,P_KW,EXC_M,EXC_REACHES,STATUS,MAXDEPTH_NOPS,GROUND_RECOV_M,GROUND_FULL_M,DM_M2,DIG_B1,DIG_B15,DIG_B2,PS_CAPEX,PS_OPEX_YR,PS_KWH_YR,PS_LCC,PS_LCC_NOSTAFF,ELIMINABLE,WIN_STAFFED_B1.0,WIN_STAFFED_B1.5,WIN_STAFFED_B2.0,WIN_UNSTAFFED_B1.0,WIN_UNSTAFFED_B1.5,WIN_UNSTAFFED_B2.0
1035,440598.8114065722,2565467.390962737,318.59,15.349,13.749,5,5.64,0.233,0.05,227.0,1,REBREACH,17.43,,,3072.4,110608.0,157535.0,239760.0,6388.0,12060.0,119.0,176359.0,7232.0,0,1,1,1,1,1,1
13071,434428.722300507,2575862.81667569,319.0,12.512,10.912,19,41.99,1.734,0.186,279.6,1,REBREACH,15.31,,,3051.1,109840.0,148192.0,211738.0,12850.0,12130.0,701.0,183805.0,14678.0,0,1,1,1,1,1,1
36110,458486.8325084218,2571447.346624459,385.4,12.179,10.579,13,9.7,0.4,0.05,515.5,4,REBREACH,12.85,103.8,,2988.5,107587.0,143180.0,197306.0,6388.0,12061.0,157.0,176370.0,7243.0,0,1,1,1,1,1,1
13353,443980.2187683709,2559164.891890228,324.1,15.037,13.437,5,7.08,0.292,0.05,211.7,1,REBREACH,17.35,,,2844.4,102400.0,144930.0,219169.0,6388.0,12060.0,146.0,176367.0,7240.0,0,1,1,1,1,1,1
227,445163.9361836258,2562718.77787445,325.54,14.383,12.783,354,401.67,13.757,1.725,207.2,1,REBREACH,16.69,,,2647.9,95326.0,132903.0,197482.0,42161.0,12537.0,7856.0,218850.0,49723.0,0,1,1,1,1,1,1
11299,445899.90456323687,2567628.2111751763,339.22,12.642,11.042,45,73.6,3.039,0.329,288.6,1,REBREACH,14.77,,,2646.7,95281.0,130262.0,188808.0,17441.0,12182.0,1244.0,189131.0,20004.0,0,1,1,1,1,1,1
57359,460130.6148995572,2567637.30478091,382.13,12.564,10.964,499,470.3,15.803,1.7,237.8,1,REBREACH,13.99,,,2607.3,93865.0,122166.0,168117.0,41829.0,12534.0,7890.0,218486.0,49359.0,0,1,1,1,1,1,1
7864,448611.4225177805,2573404.883511394,381.8,18.972,17.372,1068,1319.21,39.128,6.668,149.4,1,REBREACH,19.67,,,2557.7,92076.0,137230.0,221653.0,86660.0,13481.0,35068.0,276664.0,107537.0,0,1,1,1,1,1,1
13797,446512.1640119482,2558495.69786767,318.73,13.974,12.374,6,11.39,0.47,0.057,198.5,1,REBREACH,14.24,,,2482.0,89352.0,116026.0,161094.0,6855.0,12066.0,216.0,176913.0,7786.0,0,1,1,1,1,1,1
24090,458430.5966027584,2578435.4709974583,422.43,13.83,12.23,314,398.9,13.674,1.641,295.4,1,REBREACH,15.5,,,2444.9,88017.0,122596.0,183096.0,41047.0,12519.0,7465.0,217485.0,48358.0,0,1,1,1,1,1,1
276,450580.6494350275,2563339.133184089,340.62,13.126,11.526,149,157.23,6.032,0.682,207.8,1,REBREACH,15.17,,,2395.1,86223.0,115825.0,164950.0,25713.0,12287.0,2773.0,198884.0,29757.0,0,1,1,1,1,1,1
18607,459108.7734082345,2577365.7687687464,417.9,15.859,14.259,122,51.34,2.12,0.297,166.4,1,REBREACH,17.46,,,2372.2,85399.0,121017.0,183814.0,16496.0,12171.0,1120.0,188032.0,18904.0,0,1,1,1,1,1,1
13621,445057.9160905658,2559731.824195722,325.09,14.458,12.858,38,30.32,1.252,0.158,178.7,1,REBREACH,14.92,,,2339.5,84223.0,111057.0,156986.0,11791.0,12118.0,596.0,182582.0,13454.0,0,1,1,1,1,1,1
19403,458411.20782997087,2568157.317872241,380.27,12.241,10.641,1447,1497.26,43.734,4.565,214.6,1,REBREACH,14.44,,,2283.8,82218.0,108436.0,151093.0,70818.0,13125.0,24380.0,255801.0,86673.0,0,1,1,1,1,1,1
19577,462651.8945265841,2576321.8286883477,429.9,12.081,10.481,5324,5557.72,138.515,14.242,231.8,1,REBREACH,13.09,,,2241.2,80684.0,104553.0,142423.0,129850.0,14951.0,89134.0,340573.0,171445.0,0,1,1,1,1,1,1
21653,463761.2785942033,2567503.5463758446,392.61,12.14,10.54,65,48.55,2.005,0.207,206.4,1,REBREACH,14.44,,,2175.0,78301.0,103286.0,143908.0,13630.0,12138.0,783.0,184707.0,15580.0,0,1,1,1,1,1,1
44,444508.1182159203,2560292.487471667,327.04,13.264,11.664,16,12.57,0.519,0.059,369.7,1,CONVERGED,13.26,369.7,,2156.3,77627.0,98500.0,133128.0,7002.0,12068.0,224.0,177081.0,7954.0,1,0,0,0,1,1,1
1211,445315.3212495028,2565709.015639819,338.17,12.708,11.108,256,311.41,10.999,1.199,215.4,1,REBREACH,13.96,,,2141.8,77103.0,102936.0,144915.0,34724.0,12418.0,5293.0,209748.0,40620.0,0,1,1,1,1,1,1
24326,452497.4527195161,2575093.2181952707,390.01,12.607,11.007,196,211.35,7.824,0.845,190.1,1,REBREACH,12.77,190.1,,2092.0,75313.0,94319.0,125309.0,28819.0,12331.0,3560.0,202605.0,33478.0,0,1,1,1,1,1,1
9163,451513.9782134038,2563357.720960986,353.07,12.504,10.904,238,240.7,8.771,0.938,194.8,1,REBREACH,12.96,194.8,,2085.4,75076.0,95305.0,127829.0,30475.0,12355.0,4016.0,204600.0,35473.0,0,1,1,1,1,1,1
1202,450263.0836167253,2565508.613877436,345.91,13.819,12.219,56,60.98,2.518,0.302,230.0,1,REBREACH,15.76,,,2064.2,74312.0,104557.0,157365.0,16652.0,12173.0,1140.0,188213.0,19086.0,0,1,1,1,1,1,1
11127,445053.9257807197,2564297.663459679,337.71,12.208,10.608,216,220.59,8.123,0.845,188.5,1,REBREACH,13.91,,,1999.2,71970.0,93502.0,128242.0,28829.0,12331.0,3581.0,202623.0,33495.0,0,1,1,1,1,1,1
