ZONE2,plots,landuses,pkg,len_m,chambers,props_direct
5A-5-127,7,1,5A-5,119.6,6,2
5A-5-128,29,2,5A-5,253.6,7,16
5A-5-129,5,0,5A-5,54.9,2,2
5A-5-13,16,1,5A-5,440.0,16,32
5A-5-130,1,1,5A-5,113.1,4,0
5A-5-131,20,3,5A-5,433.6,14,17
5A-5-132,15,1,5A-5,197.7,6,7
5A-5-133,33,0,5A-5,326.5,11,16
5A-5-134,3,0,5A-5,19.3,1,0
5A-5-135,31,0,5A-5,327.7,11,23
5A-5-136,3,1,5A-5,18.9,1,1
5A-5-137,3,0,5A-5,34.1,1,0
5A-5-138,22,0,5A-5,499.5,17,9
5A-5-139,14,1,5A-5,160.7,6,12
5A-5-14,10,0,5A-5,116.1,3,5
5A-5-140,2,0,5A-5,37.3,1,1
5A-5-141,14,0,5A-5,225.6,8,5
5A-5-142,3,1,5A-5,23.6,1,1
5A-5-143,1,0,5A-5,25.1,1,2
5A-5-144,14,1,5A-5,183.1,7,6
5A-5-145,1,0,5A-5,24.7,1,1
5A-5-146,3,0,5A-5,30.9,1,2
5A-5-147,4,0,5A-5,35.5,1,3
5A-5-148,9,1,5A-5,134.1,4,5
5A-5-149,2,0,5A-5,19.7,1,0
5A-5-15,24,2,5A-5,471.2,17,17
5A-5-150,30,0,5A-5,319.7,11,11
5A-5-151,2,0,5A-5,18.5,1,1
5A-5-152,15,0,5A-5,148.0,5,12
5A-5-153,3,0,5A-5,21.6,1,0
5A-5-154,75,1,5A-5,674.7,22,28
5A-5-155,2,0,5A-5,30.0,1,0
5A-5-156,18,0,5A-5,202.5,7,12
5A-5-157,3,0,5A-5,31.3,1,3
5A-5-158,5,1,5A-5,240.8,9,1
5A-5-159,9,3,5A-5,193.7,5,3
5A-5-16,8,0,5A-5,162.8,6,6
5A-5-160,4,1,5A-5,25.3,1,1
5A-5-161,36,0,5A-5,410.6,14,11
5A-5-162,10,1,5A-5,164.0,5,7
5A-5-163,4,0,5A-5,36.6,1,0
5A-5-164,9,0,5A-5,133.8,4,4
5A-5-165,3,0,5A-5,31.3,1,5
5A-5-166,5,1,5A-5,58.4,2,0
5A-5-167,1,0,5A-5,30.5,1,1
5A-5-168,20,3,5A-5,318.8,9,34
5A-5-169,6,0,5A-5,590.3,18,0
5A-5-17,3,0,5A-5,23.4,1,1
5A-5-171,3,1,5A-5,257.7,9,0
5A-5-18,3,0,5A-5,94.5,3,5
5A-5-180,14,1,5A-5,591.8,18,0
5A-5-181,11,0,5A-5,320.4,11,0
5A-5-182,4,0,5A-5,108.4,4,0
5A-5-19,7,0,5A-5,132.3,4,2
5A-5-20,1,0,5A-5,93.0,3,22
5A-5-21,11,0,5A-5,129.5,5,4
5A-5-22,17,2,5A-5,589.3,21,9
5A-5-24,8,1,5A-5,126.7,5,30
5A-5-25,9,0,5A-5,125.8,5,2
5A-5-26,9,1,5A-5,228.6,7,1
5A-5-27,8,1,5A-5,329.3,11,1
5A-5-28,20,1,5A-5,229.3,7,7
5A-5-29,10,2,5A-5,358.9,12,1
5A-5-30,13,1,5A-5,142.3,4,4
5A-5-31,2,1,5A-5,58.7,2,0
5A-5-32,25,2,5A-5,342.6,13,11
5A-5-33,1,0,5A-5,39.4,1,0
5A-5-34,3,1,5A-5,23.2,1,1
5A-5-35,19,3,5A-5,410.4,15,3
5A-5-36,23,0,5A-5,260.9,9,5
5A-5-37,1,0,5A-5,12.1,1,0
5A-5-38,12,2,5A-5,158.1,6,2
5A-5-39,25,1,5A-5,248.7,8,2
5A-5-40,10,1,5A-5,15.3,1,4
5A-5-41,37,1,5A-5,443.3,15,15
5A-5-42,16,0,5A-5,114.6,3,5
5A-5-43,7,1,5A-5,115.7,4,8
5A-5-44,1,0,5A-5,16.7,1,1
5A-5-45,23,3,5A-5,260.0,10,20
5A-5-46,12,0,5A-5,258.3,8,9
5A-5-47,14,1,5A-5,367.6,13,7
5A-5-48,1,0,5A-5,72.7,3,1
5A-5-49,3,0,5A-5,32.5,1,0
5A-5-50,6,1,5A-5,92.7,4,7
5A-5-51,14,1,5A-5,148.9,5,11
5A-5-52,8,0,5A-5,74.2,2,10
5A-5-57,29,2,5A-5,353.4,11,26
5A-5-58,4,1,5A-5,19.8,1,2
5A-5-59,2,1,5A-5,15.0,1,1
5A-5-6,23,0,5A-5,213.6,8,0
5A-5-60,26,4,5A-5,453.9,13,27
5A-5-61,2,0,5A-5,36.9,1,1
5A-5-62,4,1,5A-5,36.7,1,3
5A-5-63,20,2,5A-5,283.1,9,12
5A-5-64,3,1,5A-5,20.2,1,1
5A-5-65,29,2,5A-5,419.1,15,10
5A-5-66,12,1,5A-5,103.1,4,1
5A-5-68,16,1,5A-5,179.0,6,17
5A-5-69,2,0,5A-5,18.6,1,4
5A-5-7,34,0,5A-5,434.7,16,44
5A-5-70,4,1,5A-5,19.3,1,1
5A-5-71,2,0,5A-5,20.3,1,3
5A-5-72,5,1,5A-5,85.1,3,2
5A-5-73,11,1,5A-5,306.8,9,10
5A-5-74,5,2,5A-5,100.4,3,0
