FEATUREID,PKG,TIER,props_up,len_up_m,qadf_m3d,pf,qpk_ls,od_built_mm,dn_our_rules,slope_built_pct,slope_req_pct,slope_ratio,dod_built,v_built_ms,surcharged,dod_limit,over_dod,under_self_cleansing,over_vmax,depth_ds_m
L012316,5A-5,lateral,1.0,100.9,0.93,3.57,0.04,160,200,0.606,0.5,1.21,0.044,0.141,0,0.65,0,1,0,1.490000000000009
L011725,5A-5,lateral,18.0,260.7,15.6,3.57,0.64,160,200,1.105,0.5,2.21,0.137,0.438,0,0.65,0,1,0,1.050000000000011
L012317,5A-5,lateral,1.0,77.9,0.91,3.57,0.04,160,200,0.6,0.5,1.2,0.043,0.14,0,0.65,0,1,0,1.359999999999957
L011724,5A-5,lateral,15.0,222.7,13.01,3.57,0.54,160,200,1.093,0.5,2.19,0.126,0.413,0,0.65,0,1,0,2.649999999999977
L012046,5A-5,sub_main,306.0,7207.9,267.28,3.11,9.62,160,200,0.366,0.5,0.73,0.839,0.603,0,0.65,1,1,0,4.725999999999999
L011728,5A-5,lateral,24.0,346.5,20.81,3.57,0.86,160,200,1.1,0.5,2.2,0.157,0.479,0,0.65,0,1,0,1.769999999999982
L012045,5A-5,sub_main,306.0,7178.6,267.26,3.11,9.62,160,200,0.365,0.5,0.73,0.841,0.601,0,0.65,1,1,0,4.619000000000028
L012305,5A-5,lateral,47.0,860.7,40.88,3.57,1.69,160,200,0.602,0.5,1.2,0.253,0.476,0,0.65,0,1,0,2.670000000000016
L011727,5A-5,lateral,22.0,317.5,19.07,3.57,0.79,160,200,1.153,0.5,2.31,0.149,0.474,0,0.65,0,1,0,1.490000000000009
L012044,5A-5,sub_main,306.0,7153.7,267.24,3.11,9.62,160,200,0.364,0.5,0.73,0.843,0.601,0,0.65,1,1,0,4.617999999999995
L011726,5A-5,lateral,22.0,291.4,19.05,3.57,0.79,160,200,1.106,0.5,2.21,0.151,0.467,0,0.65,0,1,0,1.289999999999964
L012043,5A-5,sub_main,306.0,7130.0,267.22,3.11,9.62,160,200,0.364,0.5,0.73,0.841,0.601,0,0.65,1,1,0,4.622000000000014
L012304,5A-5,lateral,47.0,890.0,40.9,3.57,1.69,160,200,0.614,0.5,1.23,0.252,0.479,0,0.65,0,1,0,2.870000000000005
L012042,5A-5,sub_main,306.0,7099.8,267.2,3.11,9.61,160,200,0.361,0.5,0.72,0.846,0.598,0,0.65,1,1,0,4.611999999999966
L012192,5A-5,lateral,0.0,447.4,0.32,3.57,0.01,160,200,0.44,0.5,0.88,0.03,0.087,0,0.65,0,1,0,3.220000000000027
L012211,5A-5,lateral,12.0,104.7,10.35,3.57,0.43,160,200,0.609,0.5,1.22,0.13,0.313,0,0.65,0,1,0,1.120000000000005
L012206,5A-5,lateral,16.0,213.4,13.86,3.57,0.57,160,200,3.872,0.5,7.74,0.096,0.651,0,0.65,0,1,0,1.0
L012191,5A-5,lateral,0.0,408.7,0.29,3.57,0.01,160,200,0.67,0.5,1.34,0.026,0.097,0,0.65,0,1,0,2.979999999999961
L012210,5A-5,lateral,10.0,73.5,8.62,3.57,0.36,160,200,0.584,0.5,1.17,0.121,0.291,0,0.65,0,1,0,1.03000000000003
L012205,5A-5,lateral,16.0,246.9,13.88,3.57,0.57,160,200,2.357,0.5,4.71,0.108,0.549,0,0.65,0,1,0,1.0
L012209,5A-5,lateral,9.0,51.2,7.75,3.57,0.32,160,200,1.795,0.5,3.59,0.088,0.415,0,0.65,0,1,0,1.0
L012208,5A-5,lateral,7.0,26.7,6.01,3.57,0.25,160,200,0.599,0.5,1.2,0.102,0.262,0,0.65,0,1,0,1.03000000000003
L012204,5A-5,lateral,17.0,276.0,14.76,3.57,0.61,160,200,0.583,0.5,1.17,0.156,0.345,0,0.65,0,1,0,1.180000000000007
L012203,5A-5,lateral,18.0,302.1,15.63,3.57,0.65,160,200,0.614,0.5,1.23,0.158,0.358,0,0.65,0,1,0,1.890000000000043
L012190,5A-5,lateral,0.0,374.4,0.27,3.57,0.01,160,200,0.668,0.5,1.34,0.025,0.094,0,0.65,0,1,0,2.82000000000005
L012189,5A-5,lateral,0.0,348.9,0.25,3.57,0.01,160,200,0.459,0.5,0.92,0.026,0.081,0,0.65,0,1,0,2.720000000000027
L011677,5A-5,lateral,0.0,19.3,0.01,3.57,0.0,160,200,0.571,0.5,1.14,0.008,0.028,0,0.65,0,1,0,1.220000000000027
L011678,5A-5,lateral,1.0,57.9,0.9,3.57,0.04,160,200,0.616,0.5,1.23,0.043,0.14,0,0.65,0,1,0,1.270000000000039
