DEPTH_M,EXC_M,STATUS,MAXDEPTH_NOPS,recover_m,best_depth,q,diff
12.253,35.7,REBREACH,12.58,81.26145395183948,1.6,62.856308815978,45.599999999999994
12.261,81.3,REBREACH,13.29,612.7982647609093,1.6,73.66248705444363,531.5
12.275,612.8,REBREACH,14.9,60.88301472455292,1.9,1869.6051220203676,551.9
12.276,60.9,REBREACH,12.28,24.414324434793045,-0.0430890441737119,118.9108312649292,36.5
12.278,24.4,REBREACH,12.59,155.65951500981407,1.715,1032.9323303867347,131.29999999999998
12.291,155.7,REBREACH,13.38,574.6842173626017,1.6,110.05930505148127,419.00000000000006
12.293,17.0,REBREACH,13.61,17.029386365926403,1.6,136.73700342913503,0.0
12.293,574.7,REBREACH,12.59,33.576418733259835,1.715,850.2331153796376,541.1
12.301,33.6,REBREACH,12.58,3.999999999911125,0.8542171380461241,2363.926624069486,29.6
12.302,4.0,REBREACH,12.34,88.08115368917159,1.6,116.07657942088728,84.1
12.313,88.1,REBREACH,13.49,568.8671872162729,1.6,426.7223779254925,480.79999999999995
12.314,568.9,REBREACH,20.34,86.93451366947069,1.6,211.9173610703324,482.0
12.326,86.9,REBREACH,12.86,333.78774922096693,1.6,47.27894170889682,246.9
12.326,333.8,REBREACH,13.08,2.541116348851808,1.6,156.3803137772707,331.3
12.332,2.5,REBREACH,12.35,430.5872138281655,1.65,492.0532376019976,428.1
12.34,430.6,REBREACH,14.64,147.51041003791929,1.6,3.304605248,283.1
12.342,147.5,REBREACH,14.49,481.2201621406937,1.65,627.6187199302368,333.7
12.343,481.2,REBREACH,15.11,3.999999999803737,1.6,13.85686714180105,477.2
12.344,4.0,REBREACH,12.35,22.868830500063623,1.6,393.4498705765625,18.9
12.352,22.9,REBREACH,12.35,105.94810050208544,1.6,373.3044238411679,83.0
12.358,105.9,REBREACH,13.55,79.57940251648745,0.913832043607158,166.59987134662651,26.30000000000001
12.364,79.6,REBREACH,13.44,291.1327492297983,1.6,327.8412720297899,211.50000000000003
12.367,291.1,REBREACH,12.37,2212.3759568296,1.6,85.66094854807986,1921.3000000000002
12.369,2212.4,REBREACH,24.98,48.2628364798094,1.6,176.23094357754346,2164.1
12.377,48.3,REBREACH,12.38,114.05048326665217,1.9,2250.239190785628,65.8
12.391,99.8,REBREACH,13.5,99.78671630841689,1.6,14.636375488,0.0
12.399,59.2,REBREACH,12.68,59.17492223404858,1.6,208.31715127553892,0.0
