Pipe,US manhole,DS manhole,US invert (m),DS invert (m),US depth (m),DS depth (m),Length (m),DN (mm),Material,Laid gradient (%),Minimum gradient (%),Gradient set by,Diameter set by,Peak factor,PF method,Qadf (m3/d),Qpeak (L/s),Velocity (m/s),d/D,Self-cleansing by,Tier,Package,Confidence
E0000647,N0000416,N0000418,381.9360144042969,381.7560144042969,3.599385986328116,3.3289770507812477,120.00000000000023,600,GRP,0.15,0.125,table11,dod,2.2658552230772915,merrimack,3648.3528377240527,96.28861231462746,0.7947648071213514,0.44371960615426853,velocity,trunk main,,drafted
E0000648,N0000418,N0000420,381.7560144042969,381.57601440429687,3.3289770507812477,2.4538928222656295,120.00000000001096,600,GRP,0.15,0.125,table11,dod,2.264237704734297,merrimack,3669.9484626840526,96.79013612043028,0.7958182344558209,0.44503283452252673,velocity,trunk main,,drafted
E0000649,N0000420,N0000422,381.57601440429687,381.39601440429675,2.4538928222656295,2.745434570312625,120.00000000006462,600,GRP,0.15,0.125,table11,dod,2.2582444916582682,merrimack,3751.22268451823,98.67168043169691,0.7997249646128366,0.4499450129397339,velocity,trunk main,,drafted
E0000650,N0000422,N0000424,381.39601440429675,381.21601440429686,2.745434570312625,2.287800292968768,119.99999999992454,600,GRP,0.15,0.125,table11,dod,2.2514434623328734,merrimack,3845.90526109423,100.85730522302698,0.8041751993907675,0.45562336654819846,velocity,trunk main,,drafted
E0000651,N0000424,N0000426,381.21601440429686,381.0360144042968,2.287800292968768,2.078029785156332,120.00000000002363,600,GRP,0.15,0.125,table11,dod,2.2482429700937154,merrimack,3891.38659651823,101.90539445941707,0.80627659854927,0.45833631420852083,velocity,trunk main,,drafted
E0000652,N0000426,N0000428,381.1140441894531,380.6340441894532,2.0,2.5931896972655295,119.99999999997287,500,GRP,0.4,0.155,cover_min,capacity,2.216993673246247,merrimack,4368.600343865967,112.8077488432546,1.201145712260512,0.48296477941489147,velocity,trunk main,,drafted
E0000653,N0000428,N0000430,380.5340441894532,380.35404418945313,2.6931896972655522,2.712362060546866,120.00000000003817,600,GRP,0.15,0.125,table11,dod,2.210981358958843,merrimack,4467.753438843097,115.05531206082725,0.8309741677686289,0.49190709236325425,velocity,trunk main,,drafted
E0000654,N0000430,N0000432,380.35404418945313,380.17404418945307,2.712362060546866,3.1050695800781796,120.00000000003178,600,GRP,0.15,0.125,table11,dod,2.20732017279411,merrimack,4529.367232002333,116.44930092402015,0.8334231293086138,0.4954233685995205,velocity,trunk main,,drafted
E0000655,N0000432,N0000434,380.0740441894531,379.95404418945316,3.2050695800781455,2.493343505859343,119.99999999991944,700,GRP,0.1,0.1,table11,dod,2.1878412066921307,merrimack,4873.622305030584,124.19238249537342,0.7246956207795999,0.4569861411202707,tractive,trunk main,,drafted
E0000656,N0000434,N0000436,379.95404418945316,379.8340441894531,2.493343505859343,2.2553112792969046,120.00000000008947,700,GRP,0.1,0.1,table11,dod,2.1736702017185325,merrimack,5142.512898782434,130.1947079106317,0.7333118706702503,0.46961574670513007,tractive,trunk main,,drafted
