PLOT_ID,X,Y,REACH,STATION_M,SHORT_BY_M,CH_REQ,ISSUE
1113509,461457.503654445,2569955.4782581106,E0034583,38.52,2.31,R00478,beyond the 45 m tertiary run
1113529,461740.9142360935,2570068.7484175973,E0035120,18.88,17.42,R00485,beyond the 45 m tertiary run
1113581,461234.65827416145,2570161.1149826897,E0033739,40.29,38.25,R00458,beyond the 45 m tertiary run
1113593,461266.91443809186,2569984.7219876936,E0034178,50.31,25.42,R00465,beyond the 45 m tertiary run
1113738,462136.6037442248,2571079.574591065,E0038567,31.67,28.84,R00573,beyond the 45 m tertiary run
1113743,462246.21274618164,2570942.247630122,E0038699,8.3,4.59,R00578,beyond the 45 m tertiary run
1113815,461936.7911007945,2571168.12597477,E0038706,49.02,29.84,R00584,beyond the 45 m tertiary run
1113817,461903.60006779345,2571190.440982839,E0038707,9.01,8.56,R00585,beyond the 45 m tertiary run
1113818,461858.14564173116,2571279.113884594,E0038698,18.95,18.65,R00577,beyond the 45 m tertiary run
1113850,462214.70359231,2570896.231119702,E0038699,64.07,14.16,R00581,beyond the 45 m tertiary run
1113852,462240.1269878809,2570933.359883996,E0038699,19.08,17.7,R00579,beyond the 45 m tertiary run
1113864,461889.3159783003,2570727.139704629,E0036403,37.68,36.1,R00517,beyond the 45 m tertiary run
1113989,461651.1707563267,2570826.626447034,E0035931,6.08,5.43,R00502,beyond the 45 m tertiary run
1113996,461439.5644559415,2570974.076965164,E0035948,13.28,11.84,R00506,beyond the 45 m tertiary run
1114132,461930.3483699551,2570632.1065967795,E0036407,8.54,3.94,R00518,beyond the 45 m tertiary run
1114134,462050.46962606476,2570511.2715432257,E0036401,39.8,37.05,R00516,beyond the 45 m tertiary run
1114171,462287.59169037384,2570553.225594306,E0035936,39.62,37.37,R00503,beyond the 45 m tertiary run
1114181,462492.6604452175,2570550.5250466815,E0036377,20.35,17.84,R00512,beyond the 45 m tertiary run
1114215,461958.37020685326,2570081.596929274,E0034565,20.18,17.66,R00475,beyond the 45 m tertiary run
1114216,461946.85576382413,2570065.244005374,E0034565,40.18,37.57,R00476,beyond the 45 m tertiary run
1114353,461286.8654130775,2570226.139104467,E0033283,35.4,14.64,R00445,beyond the 45 m tertiary run
1114354,461239.20488770615,2570157.8139838646,E0033739,34.67,13.75,R00457,beyond the 45 m tertiary run
1114395,461653.14002780087,2570943.7382324305,E0035943,63.64,16.23,R00505,beyond the 45 m tertiary run
1114396,461669.17289986816,2570931.7977005565,E0035943,43.65,35.6,R00504,beyond the 45 m tertiary run
1114586,462621.15027438337,2569943.287172508,E0036388,14.91,14.7,R00514,beyond the 45 m tertiary run
1114587,462609.54322260973,2569927.00095767,E0036388,34.91,20.07,R00515,beyond the 45 m tertiary run
1114669,462251.99131530913,2569852.905065639,E0034552,9.13,5.01,R00473,beyond the 45 m tertiary run
1114673,462314.5328360437,2569718.8816258633,E0034559,53.73,32.74,R00474,beyond the 45 m tertiary run
1114812,462868.8825817646,2570366.646510791,E0037423,48.91,28.05,R00545,beyond the 45 m tertiary run
1114814,462770.8792778183,2570306.4027723814,E0037119,24.15,23.83,R00536,beyond the 45 m tertiary run
1114936,454078.73601609067,2570190.418239802,E0025530,30.36,25.61,R00291,beyond the 45 m tertiary run
1115081,454381.11880310473,2569269.37023287,E0022854,41.84,5.11,R00254,beyond the 45 m tertiary run
1115086,454279.09938414284,2569184.701723605,E0022846,37.83,35.99,R00252,beyond the 45 m tertiary run
1115116,454599.49732067063,2569029.003194173,E0022459,31.8,17.43,R00240,beyond the 45 m tertiary run
1115514,453836.5322644327,2569418.7700350154,E0024266,18.05,16.82,R00275,beyond the 45 m tertiary run
1115597,454361.16890651145,2569079.792129799,E0022848,35.13,32.6,R00253,beyond the 45 m tertiary run
1115600,454523.54538347194,2569065.9045302006,E0022845,9.7,6.58,R00251,beyond the 45 m tertiary run
1115603,454469.5751068703,2569212.3638663823,E0022855,57.08,30.49,R00256,beyond the 45 m tertiary run
1115604,454452.7638517874,2569223.1980130463,E0022855,37.08,34.77,R00255,beyond the 45 m tertiary run
1115607,454402.3299703447,2569255.7005279213,E0022854,67.08,21.02,R00254,beyond the 45 m tertiary run
1115658,454302.9119929071,2569868.394738745,E0024907,20.99,19.48,R00282,beyond the 45 m tertiary run
1115685,455071.7626213951,2569605.1379158148,E0037984,58.59,19.71,R00561,beyond the 45 m tertiary run
1115811,459911.57686957926,2569986.238039884,E0029310,43.9,23.7,R00370,beyond the 45 m tertiary run
1115962,458649.64963740564,2569119.7951343115,E0027600,53.96,29.67,R00341,beyond the 45 m tertiary run
1116110,459282.2759559947,2569104.736586545,E0027512,49.19,28.99,R00336,beyond the 45 m tertiary run
1116111,459285.53415877454,2568970.6467417604,E0026287,42.21,16.74,R00302,beyond the 45 m tertiary run
