fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st
29321,CRT Time of Use,56.5,23.3,56.514701,23.251863,Additional Account Tariff,Residential,0,EXisting
29322,CRT Time of Use,56.5,23.3,56.514701,23.251863,Additional Account Tariff,Residential,0,EXisting
29323,CRT Time of Use,56.5,23.3,56.514701,23.251863,Additional Account Tariff,Residential,0,EXisting
29391,CRT Seasonal,56.5,23.2,56.488058,23.215679,,,,
30137,CRT Seasonal,56.6,23.3,56.597854,23.323782,,,,
30183,CRT Time of Use,56.5,23.2,56.51769,23.218721,CRT Time of Use,Residential,5,EXisting
30325,CRT Seasonal,56.4,23.3,56.37171,23.291473,,,,
30326,CRT Seasonal,56.4,23.3,56.424687,23.253802,,,,
30468,CRT Seasonal,56.5,23.2,56.500187,23.231603,,,,
30470,CRT Time of Use,56.5,23.2,56.489908,23.215821,,,,
30662,CRT Seasonal,56.5,23.2,56.500146,23.231611,Primary Account Tariff,Residential,1,EXisting
30707,CRT Seasonal,56.5,23.2,56.492582,23.217404,,,,
31228,Industrial,56.5,23.2,56.496711,23.234606,Commercial,Residential,1,EXisting
31239,CRT Seasonal,56.7,23.2,56.721538,23.179921,,,,
31240,CRT Seasonal,56.7,23.2,56.679788,23.194526,,,,
31255,CRT Seasonal,56.6,23.3,56.611855,23.320825,Commercial,Residential-Commercial,2,EXisting
31256,CRT Seasonal,56.6,23.3,56.611855,23.320825,Commercial,Residential-Commercial,2,EXisting
31446,CRT Seasonal,56.5,23.2,56.46539,23.159826,CRT Seasonal,Industrial,7,EXisting
31624,CRT Seasonal,56.7,23.3,56.727773,23.273713,,,,
31625,CRT Seasonal,56.7,23.3,56.727773,23.273713,,,,
31626,CRT Seasonal,56.7,23.3,56.727773,23.273713,,,,
31629,CRT Seasonal,56.7,23.3,56.727773,23.273713,,,,
31630,CRT Seasonal,56.7,23.3,56.727773,23.273713,,,,
31631,CRT Seasonal,56.7,23.3,56.727773,23.273713,,,,
31632,CRT Seasonal,56.7,23.3,56.727773,23.273713,,,,
31634,CRT Seasonal,56.7,23.3,56.727773,23.273713,,,,
31766,CRT Time of Use,56.5,23.2,56.486,23.210902,,,,
31767,CRT Time of Use,56.5,23.2,56.486,23.210902,,,,
31804,CRT Seasonal,56.6,23.3,56.616398,23.314174,,,,
31816,CRT Seasonal,56.7,23.2,56.745863,23.163424,,,,
31972,CRT Seasonal,56.5,23.2,56.481945,23.238477,,,,
